,Institution_ID,Institution_Type,Region,Total_Students,Total_Teachers,Student_Teacher_Ratio,Total_Classrooms,Avg_Classroom_Capacity,Classroom_Utilization_Rate,Smart_Classrooms,Computer_Labs,Lab_Utilization_Rate,Digital_Learning_Tools,Internet_Bandwidth_Mbps,Library_Resources,Learning_Outcome_Index,Student_Engagement_Index,Teacher_Workload_Index,Infrastructure_Quality_Index,Resource_Utilization_Index,Operational_Cost_Per_Student,Resource_Wastage_Index,Resource_Allocation_Status
532,INS00533,Government-Aided,Rural,385,54,7.13,89,45,0.76,36,3,0.82,0.4,516,20111,0.52,0.83,0.55,0.71,0.56,1769,0.06,Moderately_Balanced
533,INS00534,Government-Aided,Rural,1799,86,20.92,109,53,0.52,51,7,0.43,0.87,478,57154,0.67,0.72,0.79,0.67,0.67,4939,0.17,Moderately_Balanced
534,INS00535,Public,Rural,2130,60,35.5,105,60,0.58,23,11,0.74,0.46,583,59340,0.52,0.92,0.72,0.87,0.72,3059,0.2,Moderately_Balanced
535,INS00536,Private,Semi-Urban,1503,118,12.74,56,40,0.46,18,7,0.87,0.85,888,24789,0.93,0.66,0.85,0.5,0.86,2655,0.05,Moderately_Balanced
536,INS00537,Public,Rural,474,69,6.87,62,52,0.88,49,1,0.63,0.76,634,46772,0.79,0.72,0.5,0.59,0.72,2754,0.25,Moderately_Balanced
537,INS00538,Private,Urban,2275,123,18.5,41,68,0.46,19,7,0.87,0.5,52,8232,0.67,0.52,0.49,0.48,0.58,2455,0.3,Needs_Improvement
538,INS00539,Private,Semi-Urban,877,105,8.35,86,51,0.61,26,3,0.87,0.89,796,91122,0.51,0.58,0.58,0.65,0.77,4671,0.06,Needs_Improvement
539,INS00540,Private,Semi-Urban,2098,98,21.41,47,62,0.49,16,13,0.72,0.59,542,57203,0.64,0.76,0.3,0.88,0.66,4495,0.2,Moderately_Balanced
540,INS00541,Private,Rural,2396,64,37.44,90,47,0.84,15,3,0.64,0.47,399,107181,0.78,0.72,0.42,0.77,0.67,3317,0.06,Moderately_Balanced
541,INS00542,Private,Semi-Urban,444,125,3.55,49,43,0.91,0,6,0.78,0.45,607,78150,0.93,0.6,0.43,0.81,0.55,3682,0.31,Moderately_Balanced
542,INS00543,Government-Aided,Rural,1061,141,7.52,112,57,0.73,20,6,0.88,0.91,925,110611,0.69,0.46,0.34,0.45,0.35,4601,0.1,Needs_Improvement
543,INS00544,Public,Urban,1677,96,17.47,30,40,0.52,26,11,0.75,0.78,73,40650,0.8,0.58,0.57,0.65,0.56,4714,0.07,Needs_Improvement
544,INS00545,Government-Aided,Rural,2125,75,28.33,50,53,0.73,0,13,0.51,0.49,350,70895,0.55,0.42,0.84,0.86,0.53,2972,0.31,Needs_Improvement
545,INS00546,Private,Semi-Urban,1228,131,9.37,80,65,0.84,29,4,0.83,0.43,116,28452,0.76,0.71,0.3,0.86,0.41,1983,0.18,Moderately_Balanced
546,INS00547,Public,Urban,1093,112,9.76,90,48,0.81,19,5,0.89,0.4,524,56349,0.57,0.57,0.68,0.94,0.47,4017,0.08,Needs_Improvement
547,INS00548,Private,Rural,1901,60,31.68,105,42,0.82,23,3,0.61,0.42,167,92877,0.55,0.6,0.83,0.69,0.94,4983,0.24,Moderately_Balanced
548,INS00549,Public,Urban,1960,25,78.4,70,62,0.59,45,3,0.76,0.33,536,37866,0.7,0.7,0.36,0.4,0.52,1816,0.26,Needs_Improvement
549,INS00550,Government-Aided,Urban,618,117,5.28,31,48,0.49,55,9,0.67,0.59,514,12334,0.56,0.71,0.85,0.89,0.66,3926,0.22,Moderately_Balanced
550,INS00551,Public,Semi-Urban,1410,92,15.33,34,61,0.52,1,5,0.46,0.28,299,56855,0.81,0.71,0.79,0.93,0.68,4084,0.15,Moderately_Balanced
551,INS00552,Public,Urban,1876,60,31.27,99,44,0.93,14,1,0.58,0.26,435,82470,0.92,0.66,0.43,0.91,0.69,3469,0.18,Moderately_Balanced
552,INS00553,Public,Semi-Urban,997,28,35.61,108,40,0.76,28,9,0.49,0.68,306,19256,0.65,0.66,0.84,0.82,0.38,3255,0.34,Needs_Improvement
553,INS00554,Public,Urban,1146,27,42.44,98,52,0.81,34,10,0.75,0.31,125,14003,0.61,0.84,0.78,0.52,0.81,2316,0.21,Moderately_Balanced
554,INS00555,Public,Rural,2101,123,17.08,22,34,0.9,12,6,0.7,0.84,575,64854,0.54,0.65,0.37,0.48,0.79,1714,0.17,Needs_Improvement
555,INS00556,Private,Urban,1082,32,33.81,32,51,0.88,18,9,0.42,0.32,225,101045,0.65,0.68,0.8,0.79,0.94,4195,0.26,Moderately_Balanced
556,INS00557,Public,Rural,2389,38,62.87,32,47,0.56,0,14,0.43,0.63,934,113416,0.73,0.92,0.63,0.48,0.46,2658,0.07,Needs_Improvement
557,INS00558,Public,Rural,1416,117,12.1,32,36,0.48,44,11,0.54,0.72,811,118529,0.64,0.5,0.79,0.92,0.68,1659,0.14,Moderately_Balanced
558,INS00559,Government-Aided,Urban,2050,115,17.83,16,62,0.91,46,7,0.79,0.41,137,53683,0.76,0.79,0.67,0.65,0.83,2668,0.12,Moderately_Balanced
559,INS00560,Public,Rural,1949,68,28.66,90,32,0.94,15,11,0.47,0.87,499,88795,0.78,0.65,0.54,0.42,0.42,2018,0.25,Needs_Improvement
560,INS00561,Government-Aided,Urban,591,119,4.97,110,57,0.73,42,10,0.51,0.59,799,34270,0.5,0.84,0.66,0.48,0.82,4055,0.23,Moderately_Balanced
561,INS00562,Private,Urban,1268,101,12.55,86,30,0.89,2,10,0.87,0.47,709,36827,0.8,0.61,0.68,0.56,0.51,2978,0.28,Needs_Improvement
562,INS00563,Public,Rural,1787,85,21.02,65,66,0.57,39,7,0.68,0.88,872,119271,0.9,0.56,0.76,0.79,0.52,4021,0.18,Moderately_Balanced
563,INS00564,Government-Aided,Rural,2142,110,19.47,24,51,0.51,5,5,0.72,0.85,390,61559,0.46,0.51,0.8,0.81,0.92,3862,0.1,Moderately_Balanced
564,INS00565,Government-Aided,Semi-Urban,396,78,5.08,89,48,0.7,30,7,0.64,0.75,247,79968,0.73,0.86,0.7,0.52,0.54,2272,0.1,Moderately_Balanced
565,INS00566,Private,Rural,1418,72,19.69,28,43,0.86,4,10,0.56,0.45,300,97910,0.75,0.78,0.89,0.76,0.7,4414,0.32,Moderately_Balanced
566,INS00567,Public,Semi-Urban,373,71,5.25,40,32,0.78,25,4,0.53,0.52,454,59855,0.8,0.44,0.77,0.42,0.61,4957,0.07,Needs_Improvement
567,INS00568,Public,Rural,1659,100,16.59,61,48,0.77,27,11,0.71,0.73,136,52284,0.64,0.78,0.85,0.46,0.4,3166,0.23,Needs_Improvement
568,INS00569,Government-Aided,Urban,1391,34,40.91,44,62,0.46,14,11,0.64,0.38,673,16262,0.86,0.42,0.49,0.69,0.92,2602,0.12,Moderately_Balanced
569,INS00570,Public,Rural,1057,140,7.55,70,50,0.61,8,6,0.61,0.6,603,76072,0.72,0.5,0.49,0.79,0.48,4855,0.11,Needs_Improvement
570,INS00571,Government-Aided,Urban,2241,24,93.38,56,30,0.92,54,2,0.76,0.77,560,54836,0.65,0.71,0.52,0.9,0.51,3351,0.08,Moderately_Balanced
571,INS00572,Public,Urban,507,37,13.7,18,55,0.52,21,14,0.61,0.71,44,84965,0.81,0.65,0.56,0.64,0.58,3370,0.34,Moderately_Balanced
572,INS00573,Government-Aided,Urban,1544,75,20.59,117,39,0.81,36,10,0.42,0.75,106,71434,0.91,0.85,0.88,0.47,0.65,4943,0.07,Moderately_Balanced
573,INS00574,Public,Semi-Urban,1585,94,16.86,25,64,0.83,20,3,0.84,0.87,206,47647,0.86,0.72,0.34,0.91,0.44,2254,0.09,Moderately_Balanced
574,INS00575,Private,Rural,709,115,6.17,38,42,0.82,41,2,0.57,0.93,631,26451,0.92,0.91,0.6,0.64,0.73,4437,0.16,Highly_Balanced
575,INS00576,Public,Urban,1070,133,8.05,100,35,0.94,56,13,0.89,0.57,972,44582,0.58,0.85,0.4,0.67,0.66,2022,0.19,Moderately_Balanced
576,INS00577,Public,Urban,2143,120,17.86,81,35,0.65,28,10,0.86,0.29,274,43214,0.51,0.58,0.79,0.87,0.53,2098,0.34,Needs_Improvement
577,INS00578,Private,Semi-Urban,373,47,7.94,51,64,0.79,25,2,0.52,0.83,415,72367,0.72,0.84,0.32,0.72,0.77,3679,0.12,Moderately_Balanced
578,INS00579,Public,Rural,1960,69,28.41,16,45,0.55,5,7,0.9,0.33,197,76120,0.47,0.86,0.57,0.57,0.66,1938,0.27,Needs_Improvement
579,INS00580,Private,Rural,553,21,26.33,26,37,0.65,59,5,0.84,0.4,159,73017,0.79,0.91,0.54,0.7,0.85,2620,0.25,Highly_Balanced
580,INS00581,Public,Semi-Urban,1119,87,12.86,35,32,0.7,10,13,0.91,0.71,101,17617,0.57,0.41,0.36,0.74,0.86,3754,0.21,Needs_Improvement
581,INS00582,Government-Aided,Semi-Urban,1285,147,8.74,83,34,0.56,35,13,0.75,0.77,887,32150,0.68,0.86,0.53,0.89,0.94,2351,0.13,Highly_Balanced
582,INS00583,Government-Aided,Rural,631,96,6.57,85,50,0.9,19,6,0.88,0.74,451,62364,0.78,0.44,0.79,0.53,0.39,3945,0.1,Needs_Improvement
583,INS00584,Public,Semi-Urban,1721,43,40.02,78,60,0.81,43,3,0.76,0.56,965,11164,0.69,0.68,0.38,0.71,0.59,2462,0.1,Moderately_Balanced
584,INS00585,Public,Rural,1135,131,8.66,82,43,0.59,19,10,0.84,0.89,550,25795,0.57,0.62,0.89,0.91,0.65,2777,0.15,Moderately_Balanced
585,INS00586,Public,Rural,1991,138,14.43,57,66,0.52,26,5,0.72,0.83,387,32868,0.89,0.89,0.34,0.43,0.49,3416,0.09,Moderately_Balanced
586,INS00587,Government-Aided,Urban,754,55,13.71,68,48,0.59,5,5,0.88,0.71,786,38385,0.83,0.61,0.47,0.51,0.9,1449,0.35,Moderately_Balanced
587,INS00588,Public,Urban,2229,21,106.14,119,66,0.76,32,11,0.67,0.56,72,50800,0.75,0.72,0.76,0.59,0.4,4670,0.18,Needs_Improvement
588,INS00589,Government-Aided,Rural,1438,146,9.85,114,49,0.86,56,4,0.78,0.57,566,78876,0.8,0.77,0.51,0.77,0.61,4681,0.21,Moderately_Balanced
589,INS00590,Private,Rural,612,124,4.94,76,31,0.7,29,10,0.88,0.37,388,75838,0.66,0.41,0.59,0.86,0.46,1851,0.23,Needs_Improvement
590,INS00591,Government-Aided,Rural,1317,37,35.59,100,36,0.5,49,4,0.62,0.8,686,12886,0.64,0.71,0.41,0.51,0.76,4011,0.11,Moderately_Balanced
591,INS00592,Government-Aided,Rural,527,27,19.52,107,62,0.57,33,12,0.41,0.86,598,12789,0.53,0.67,0.73,0.54,0.77,3976,0.19,Needs_Improvement
592,INS00593,Private,Rural,1157,34,34.03,87,35,0.62,4,13,0.46,0.83,992,58529,0.85,0.71,0.41,0.85,0.87,3906,0.07,Highly_Balanced
593,INS00594,Government-Aided,Rural,1568,42,37.33,104,36,0.77,15,8,0.91,0.63,761,61650,0.64,0.44,0.81,0.48,0.6,1656,0.34,Needs_Improvement
594,INS00595,Public,Semi-Urban,1317,112,11.76,26,47,0.57,11,6,0.85,0.84,70,36798,0.8,0.43,0.62,0.54,0.82,2322,0.19,Needs_Improvement
595,INS00596,Public,Rural,1249,68,18.37,15,58,0.57,11,11,0.65,0.8,380,21496,0.6,0.49,0.63,0.8,0.68,1628,0.06,Needs_Improvement
596,INS00597,Government-Aided,Semi-Urban,726,83,8.75,86,48,0.59,10,2,0.9,0.83,934,10332,0.85,0.86,0.86,0.49,0.84,1491,0.23,Moderately_Balanced
597,INS00598,Public,Semi-Urban,2389,53,45.08,47,54,0.75,51,2,0.5,0.94,62,79797,0.5,0.59,0.76,0.86,0.4,2255,0.08,Needs_Improvement
598,INS00599,Government-Aided,Rural,764,37,20.65,78,33,0.7,50,2,0.46,0.82,566,15685,0.76,0.63,0.75,0.67,0.63,2418,0.29,Moderately_Balanced
599,INS00600,Public,Rural,1945,83,23.43,82,42,0.87,20,6,0.71,0.44,546,47053,0.85,0.61,0.81,0.65,0.44,4404,0.34,Needs_Improvement
600,INS00601,Public,Semi-Urban,577,125,4.62,28,61,0.8,6,12,0.6,0.82,675,23613,0.78,0.78,0.36,0.47,0.82,1515,0.32,Moderately_Balanced
601,INS00602,Government-Aided,Semi-Urban,318,93,3.42,107,56,0.78,57,1,0.58,0.51,886,82699,0.8,0.54,0.74,0.77,0.44,3224,0.18,Needs_Improvement
602,INS00603,Public,Rural,365,121,3.02,28,63,0.53,33,3,0.78,0.61,88,92212,0.71,0.44,0.44,0.89,0.35,2305,0.26,Needs_Improvement
603,INS00604,Government-Aided,Rural,466,36,12.94,23,57,0.48,28,1,0.48,0.81,730,46940,0.73,0.6,0.47,0.78,0.91,3929,0.1,Moderately_Balanced
604,INS00605,Public,Semi-Urban,1908,71,26.87,87,38,0.7,5,4,0.8,0.47,104,94591,0.48,0.79,0.31,0.57,0.64,1575,0.07,Needs_Improvement
605,INS00606,Public,Semi-Urban,702,83,8.46,40,37,0.49,35,13,0.59,0.27,188,23741,0.58,0.88,0.84,0.78,0.94,2530,0.3,Moderately_Balanced
606,INS00607,Private,Semi-Urban,708,53,13.36,63,50,0.63,33,1,0.91,0.75,969,110396,0.81,0.43,0.74,0.68,0.62,4734,0.26,Needs_Improvement
607,INS00608,Private,Urban,2459,114,21.57,31,59,0.46,48,9,0.82,0.88,724,109363,0.92,0.83,0.38,0.87,0.7,2440,0.32,Highly_Balanced
608,INS00609,Government-Aided,Semi-Urban,896,106,8.45,119,58,0.54,7,11,0.74,0.9,49,58590,0.72,0.44,0.5,0.65,0.8,4161,0.32,Moderately_Balanced
609,INS00610,Private,Urban,1362,121,11.26,82,38,0.51,36,12,0.52,0.81,166,11751,0.81,0.58,0.59,0.53,0.52,1654,0.15,Needs_Improvement
610,INS00611,Government-Aided,Rural,2452,95,25.81,74,42,0.85,9,11,0.9,0.9,107,57203,0.79,0.41,0.6,0.46,0.43,4549,0.15,Needs_Improvement
611,INS00612,Private,Rural,623,38,16.39,17,47,0.62,15,13,0.42,0.82,321,43007,0.95,0.88,0.66,0.55,0.75,1415,0.18,Moderately_Balanced
612,INS00613,Public,Semi-Urban,2282,93,24.54,107,67,0.49,1,6,0.52,0.27,847,107397,0.85,0.77,0.58,0.71,0.66,3282,0.25,Moderately_Balanced
613,INS00614,Government-Aided,Rural,1737,69,25.17,39,51,0.58,55,14,0.42,0.49,610,97707,0.76,0.6,0.69,0.49,0.85,1733,0.05,Moderately_Balanced
614,INS00615,Government-Aided,Rural,728,58,12.55,35,60,0.79,18,8,0.9,0.49,758,68521,0.51,0.6,0.83,0.42,0.38,4170,0.21,Needs_Improvement
615,INS00616,Public,Rural,1384,31,44.65,26,64,0.82,6,14,0.85,0.4,43,107789,0.63,0.74,0.54,0.65,0.68,2609,0.06,Moderately_Balanced
616,INS00617,Government-Aided,Rural,1935,98,19.74,68,39,0.51,1,2,0.9,0.81,439,24365,0.58,0.45,0.83,0.59,0.46,1914,0.19,Needs_Improvement
617,INS00618,Government-Aided,Urban,1677,34,49.32,15,38,0.84,44,14,0.77,0.61,196,29405,0.88,0.48,0.43,0.63,0.72,4521,0.07,Moderately_Balanced
618,INS00619,Private,Urban,692,47,14.72,15,60,0.64,22,6,0.41,0.84,206,115880,0.67,0.85,0.37,0.65,0.81,3884,0.22,Moderately_Balanced
619,INS00620,Government-Aided,Semi-Urban,1840,55,33.45,59,69,0.79,30,4,0.88,0.67,801,91986,0.72,0.51,0.44,0.82,0.51,3870,0.14,Needs_Improvement
620,INS00621,Public,Semi-Urban,745,138,5.4,60,53,0.79,3,7,0.62,0.66,233,17854,0.93,0.79,0.42,0.93,0.64,2633,0.19,Highly_Balanced
621,INS00622,Private,Semi-Urban,1503,84,17.89,62,37,0.85,15,8,0.59,0.52,314,97694,0.87,0.52,0.89,0.54,0.6,4662,0.34,Needs_Improvement
622,INS00623,Private,Rural,1323,117,11.31,21,49,0.8,9,14,0.55,0.8,795,74500,0.84,0.45,0.53,0.92,0.8,3458,0.15,Moderately_Balanced
623,INS00624,Public,Rural,641,66,9.71,24,46,0.47,48,6,0.55,0.73,707,91004,0.52,0.88,0.69,0.53,0.71,4884,0.27,Moderately_Balanced
624,INS00625,Public,Urban,432,100,4.32,29,57,0.71,20,13,0.82,0.49,611,75396,0.46,0.88,0.72,0.82,0.42,1538,0.25,Needs_Improvement
625,INS00626,Private,Urban,2159,58,37.22,54,35,0.53,27,13,0.53,0.95,769,91571,0.51,0.72,0.57,0.77,0.94,3961,0.31,Moderately_Balanced
626,INS00627,Government-Aided,Semi-Urban,564,57,9.89,25,62,0.93,45,1,0.52,0.57,612,6123,0.82,0.64,0.43,0.43,0.9,2462,0.15,Moderately_Balanced
627,INS00628,Private,Urban,392,63,6.22,70,57,0.58,11,8,0.76,0.47,216,47011,0.66,0.69,0.56,0.8,0.7,4238,0.07,Moderately_Balanced
628,INS00629,Public,Urban,1985,116,17.11,60,30,0.66,12,11,0.55,0.73,828,54967,0.51,0.62,0.58,0.9,0.82,1664,0.34,Moderately_Balanced
629,INS00630,Private,Urban,1734,143,12.13,59,64,0.55,51,1,0.41,0.41,822,19650,0.82,0.8,0.87,0.91,0.36,4601,0.16,Moderately_Balanced
630,INS00631,Public,Urban,2485,45,55.22,101,53,0.52,39,9,0.88,0.83,467,68290,0.55,0.8,0.64,0.78,0.47,4563,0.11,Moderately_Balanced
631,INS00632,Private,Urban,1531,116,13.2,27,35,0.75,16,2,0.56,0.73,200,7858,0.74,0.83,0.88,0.83,0.81,3908,0.32,Highly_Balanced
632,INS00633,Government-Aided,Semi-Urban,1301,20,65.05,41,36,0.7,17,11,0.8,0.86,73,54834,0.82,0.68,0.65,0.44,0.41,2112,0.11,Needs_Improvement
633,INS00634,Private,Semi-Urban,1960,72,27.22,119,38,0.64,52,10,0.64,0.48,184,62292,0.75,0.82,0.39,0.49,0.38,1881,0.21,Needs_Improvement
634,INS00635,Private,Urban,1896,25,75.84,95,66,0.49,9,6,0.47,0.85,455,101908,0.95,0.48,0.53,0.54,0.72,4187,0.28,Moderately_Balanced
635,INS00636,Public,Semi-Urban,565,56,10.09,64,45,0.82,57,8,0.74,0.6,549,74191,0.67,0.42,0.78,0.69,0.37,4186,0.27,Needs_Improvement
636,INS00637,Public,Rural,945,21,45.0,75,63,0.45,27,5,0.52,0.29,808,32178,0.61,0.74,0.55,0.61,0.46,4978,0.06,Needs_Improvement
637,INS00638,Public,Urban,1436,142,10.11,27,64,0.68,12,14,0.55,0.39,275,100471,0.55,0.46,0.36,0.76,0.4,4514,0.11,Needs_Improvement
638,INS00639,Private,Rural,1701,88,19.33,26,64,0.77,33,2,0.42,0.4,317,104084,0.7,0.69,0.36,0.65,0.67,4577,0.32,Moderately_Balanced
639,INS00640,Government-Aided,Semi-Urban,753,32,23.53,43,49,0.67,58,5,0.41,0.79,852,34175,0.88,0.78,0.44,0.83,0.76,4037,0.22,Highly_Balanced
640,INS00641,Public,Semi-Urban,2214,88,25.16,99,52,0.51,48,1,0.67,0.39,996,39210,0.92,0.62,0.64,0.79,0.46,2061,0.26,Moderately_Balanced
641,INS00642,Public,Rural,1763,85,20.74,98,64,0.84,5,8,0.43,0.64,155,52834,0.94,0.42,0.8,0.81,0.63,4524,0.17,Moderately_Balanced
642,INS00643,Private,Semi-Urban,1510,78,19.36,34,52,0.61,11,8,0.51,0.71,496,45586,0.72,0.87,0.62,0.86,0.36,4705,0.27,Moderately_Balanced
643,INS00644,Public,Urban,1130,87,12.99,45,33,0.52,28,14,0.88,0.79,743,9500,0.75,0.42,0.75,0.86,0.51,4307,0.14,Needs_Improvement
644,INS00645,Government-Aided,Rural,1690,78,21.67,22,39,0.73,12,2,0.44,0.8,772,89679,0.74,0.88,0.69,0.83,0.46,2804,0.12,Moderately_Balanced
645,INS00646,Government-Aided,Urban,1412,136,10.38,38,40,0.46,59,6,0.55,0.75,133,27377,0.68,0.43,0.61,0.44,0.45,2482,0.35,Needs_Improvement
646,INS00647,Public,Rural,2269,29,78.24,89,69,0.61,25,11,0.78,0.4,376,48161,0.53,0.79,0.43,0.74,0.49,3440,0.1,Needs_Improvement
647,INS00648,Public,Semi-Urban,2479,149,16.64,53,38,0.83,3,8,0.86,0.63,442,37093,0.48,0.89,0.83,0.41,0.83,1792,0.34,Moderately_Balanced
648,INS00649,Private,Rural,1171,34,34.44,47,69,0.91,14,10,0.42,0.45,336,48221,0.67,0.88,0.47,0.81,0.92,3744,0.33,Highly_Balanced
649,INS00650,Government-Aided,Rural,934,65,14.37,56,41,0.75,15,13,0.5,0.79,975,65977,0.54,0.87,0.45,0.43,0.77,1509,0.26,Moderately_Balanced
650,INS00651,Government-Aided,Urban,1699,108,15.73,29,46,0.56,52,8,0.6,0.77,728,8120,0.89,0.87,0.45,0.94,0.39,4451,0.22,Moderately_Balanced
651,INS00652,Public,Semi-Urban,990,96,10.31,82,61,0.56,18,12,0.59,0.41,206,105849,0.83,0.67,0.36,0.74,0.73,2245,0.05,Moderately_Balanced
652,INS00653,Private,Urban,2165,129,16.78,79,52,0.75,46,14,0.55,0.7,285,90961,0.76,0.7,0.6,0.5,0.79,2186,0.24,Moderately_Balanced
653,INS00654,Government-Aided,Semi-Urban,1357,116,11.7,46,44,0.65,25,14,0.53,0.29,722,86753,0.47,0.73,0.5,0.66,0.42,2256,0.28,Needs_Improvement
654,INS00655,Government-Aided,Urban,2255,64,35.23,25,57,0.54,31,7,0.54,0.79,985,109179,0.76,0.87,0.61,0.85,0.53,3652,0.27,Moderately_Balanced
655,INS00656,Private,Rural,881,110,8.01,108,67,0.84,5,3,0.47,0.8,794,96482,0.76,0.84,0.57,0.5,0.61,3376,0.1,Moderately_Balanced
656,INS00657,Private,Urban,1689,133,12.7,51,34,0.55,51,13,0.48,0.49,566,7828,0.67,0.81,0.61,0.7,0.54,2355,0.21,Moderately_Balanced
657,INS00658,Government-Aided,Semi-Urban,1083,92,11.77,33,69,0.61,5,14,0.72,0.81,878,85294,0.78,0.76,0.48,0.4,0.66,4952,0.22,Moderately_Balanced
658,INS00659,Government-Aided,Semi-Urban,480,54,8.89,65,47,0.48,4,12,0.55,0.85,61,88382,0.88,0.73,0.79,0.83,0.43,4405,0.25,Moderately_Balanced
659,INS00660,Private,Rural,318,61,5.21,114,50,0.8,58,14,0.61,0.38,744,111246,0.83,0.89,0.62,0.51,0.62,3787,0.3,Moderately_Balanced
660,INS00661,Government-Aided,Semi-Urban,1549,46,33.67,48,44,0.59,1,11,0.61,0.5,107,117883,0.69,0.5,0.43,0.61,0.79,1659,0.26,Needs_Improvement
661,INS00662,Public,Urban,1916,51,37.57,85,32,0.57,51,4,0.46,0.43,304,100914,0.58,0.5,0.84,0.69,0.63,3100,0.09,Needs_Improvement
662,INS00663,Public,Rural,1545,122,12.66,74,55,0.6,1,1,0.83,0.51,174,103857,0.69,0.92,0.37,0.48,0.48,3235,0.06,Needs_Improvement
663,INS00664,Private,Semi-Urban,1938,104,18.63,98,44,0.89,36,9,0.9,0.56,313,28435,0.92,0.69,0.74,0.91,0.83,2217,0.09,Highly_Balanced
664,INS00665,Private,Semi-Urban,353,97,3.64,67,49,0.71,2,14,0.54,0.61,789,114068,0.86,0.66,0.71,0.66,0.59,3718,0.06,Moderately_Balanced
665,INS00666,Private,Urban,1726,63,27.4,26,50,0.53,5,10,0.55,0.27,556,92819,0.46,0.85,0.34,0.53,0.61,3482,0.18,Needs_Improvement
666,INS00667,Public,Urban,742,51,14.55,76,55,0.84,30,10,0.76,0.29,725,112211,0.84,0.85,0.84,0.8,0.56,3259,0.14,Moderately_Balanced
667,INS00668,Government-Aided,Rural,879,47,18.7,110,52,0.55,42,2,0.44,0.71,313,102573,0.54,0.49,0.49,0.89,0.52,3353,0.05,Needs_Improvement
668,INS00669,Public,Semi-Urban,581,96,6.05,80,54,0.66,4,10,0.87,0.56,78,103050,0.74,0.49,0.74,0.9,0.71,2399,0.07,Moderately_Balanced
669,INS00670,Government-Aided,Urban,1122,37,30.32,100,33,0.73,49,7,0.46,0.31,485,58447,0.85,0.82,0.47,0.64,0.46,4457,0.17,Moderately_Balanced
670,INS00671,Public,Rural,1969,122,16.14,119,39,0.74,45,8,0.78,0.52,637,59256,0.73,0.82,0.62,0.6,0.81,1824,0.33,Moderately_Balanced
671,INS00672,Government-Aided,Semi-Urban,940,89,10.56,62,51,0.48,9,14,0.55,0.58,538,41157,0.65,0.52,0.88,0.91,0.64,1488,0.35,Moderately_Balanced
672,INS00673,Public,Semi-Urban,1331,138,9.64,54,32,0.87,26,4,0.57,0.69,708,82470,0.61,0.85,0.67,0.43,0.88,4420,0.07,Moderately_Balanced
673,INS00674,Private,Rural,2316,116,19.97,38,48,0.69,23,11,0.47,0.33,215,108623,0.6,0.65,0.48,0.81,0.91,4134,0.3,Moderately_Balanced
674,INS00675,Public,Rural,862,54,15.96,64,60,0.94,21,11,0.74,0.95,895,116908,0.87,0.65,0.58,0.5,0.58,1304,0.19,Moderately_Balanced
675,INS00676,Government-Aided,Urban,640,88,7.27,109,38,0.81,24,10,0.81,0.58,763,117919,0.86,0.92,0.71,0.66,0.45,2472,0.24,Moderately_Balanced
676,INS00677,Public,Semi-Urban,771,145,5.32,82,58,0.95,2,1,0.89,0.73,316,32739,0.86,0.68,0.57,0.92,0.65,4585,0.2,Moderately_Balanced
677,INS00678,Public,Semi-Urban,2010,118,17.03,102,66,0.68,15,5,0.57,0.89,221,41419,0.59,0.47,0.85,0.72,0.51,4247,0.33,Needs_Improvement
678,INS00679,Public,Semi-Urban,534,97,5.51,57,36,0.52,29,10,0.72,0.27,454,24519,0.85,0.55,0.82,0.69,0.61,4874,0.19,Moderately_Balanced
679,INS00680,Private,Rural,1406,130,10.82,31,67,0.81,47,10,0.62,0.67,892,43031,0.47,0.58,0.39,0.43,0.58,2273,0.1,Needs_Improvement
680,INS00681,Public,Urban,1416,36,39.33,118,53,0.84,42,6,0.69,0.63,751,16025,0.55,0.91,0.77,0.55,0.62,2575,0.28,Moderately_Balanced
681,INS00682,Private,Semi-Urban,2208,23,96.0,97,37,0.88,3,7,0.48,0.29,881,117195,0.71,0.54,0.87,0.4,0.65,3248,0.2,Needs_Improvement
682,INS00683,Private,Rural,1717,111,15.47,118,63,0.6,42,1,0.7,0.74,811,110706,0.65,0.63,0.49,0.88,0.73,3791,0.09,Moderately_Balanced
683,INS00684,Public,Semi-Urban,1123,94,11.95,116,55,0.71,39,13,0.84,0.4,311,8495,0.51,0.8,0.44,0.75,0.35,2418,0.19,Needs_Improvement
684,INS00685,Public,Urban,1591,122,13.04,69,57,0.88,15,4,0.85,0.74,867,22721,0.47,0.55,0.31,0.46,0.5,3344,0.26,Needs_Improvement
685,INS00686,Public,Semi-Urban,931,43,21.65,48,57,0.88,54,12,0.65,0.5,500,26472,0.76,0.77,0.37,0.6,0.45,4656,0.14,Needs_Improvement
686,INS00687,Government-Aided,Urban,828,84,9.86,111,36,0.46,39,5,0.52,0.79,925,53940,0.61,0.51,0.88,0.85,0.78,1735,0.32,Moderately_Balanced
687,INS00688,Public,Urban,2280,136,16.76,84,32,0.79,40,5,0.84,0.91,808,11196,0.46,0.53,0.53,0.48,0.85,2370,0.3,Needs_Improvement
688,INS00689,Private,Semi-Urban,2469,101,24.45,74,51,0.75,45,7,0.92,0.85,302,69538,0.67,0.92,0.53,0.53,0.79,4161,0.22,Moderately_Balanced
689,INS00690,Public,Semi-Urban,2357,25,94.28,65,67,0.49,7,4,0.6,0.59,842,113917,0.6,0.6,0.46,0.7,0.93,4367,0.07,Moderately_Balanced
