Institution_ID,Institution_Type,Region,Total_Students,Total_Teachers,Student_Teacher_Ratio,Total_Classrooms,Avg_Classroom_Capacity,Classroom_Utilization_Rate,Smart_Classrooms,Computer_Labs,Lab_Utilization_Rate,Digital_Learning_Tools,Internet_Bandwidth_Mbps,Library_Resources,Learning_Outcome_Index,Student_Engagement_Index,Teacher_Workload_Index,Infrastructure_Quality_Index,Resource_Utilization_Index,Operational_Cost_Per_Student,Resource_Wastage_Index,Resource_Allocation_Status
INS01620,Private,Rural,1954,34,57.47,70,58,0.83,22,3,0.73,0.51,710,79783,0.86,0.84,0.88,0.41,0.68,2935,0.22,Moderately_Balanced
INS01621,Private,Rural,380,96,3.96,61,39,0.88,29,6,0.43,0.65,262,68574,0.79,0.56,0.32,0.9,0.44,2801,0.18,Moderately_Balanced
INS01622,Public,Rural,2237,125,17.9,85,34,0.54,5,5,0.58,0.37,673,39908,0.68,0.87,0.64,0.78,0.68,2747,0.23,Moderately_Balanced
INS01623,Public,Semi-Urban,1169,109,10.72,54,40,0.46,43,4,0.89,0.42,874,86405,0.71,0.85,0.39,0.84,0.62,2338,0.32,Moderately_Balanced
INS01624,Public,Rural,1730,106,16.32,73,58,0.53,59,8,0.43,0.31,923,81577,0.54,0.75,0.49,0.56,0.56,1399,0.16,Needs_Improvement
INS01625,Public,Urban,1369,80,17.11,57,56,0.9,35,10,0.49,0.87,352,111251,0.51,0.65,0.41,0.4,0.63,2474,0.15,Needs_Improvement
INS01626,Private,Rural,898,127,7.07,106,63,0.6,19,9,0.9,0.43,631,36832,0.81,0.73,0.9,0.67,0.75,1368,0.24,Moderately_Balanced
INS01627,Government-Aided,Semi-Urban,1934,80,24.18,80,43,0.57,15,12,0.42,0.77,127,78881,0.87,0.79,0.32,0.94,0.47,3691,0.26,Moderately_Balanced
INS01628,Public,Rural,1106,70,15.8,23,39,0.46,27,9,0.63,0.44,340,45639,0.81,0.92,0.62,0.9,0.67,1614,0.19,Highly_Balanced
INS01629,Government-Aided,Urban,2234,31,72.06,20,40,0.6,53,5,0.88,0.35,824,36901,0.91,0.46,0.66,0.44,0.84,4868,0.31,Moderately_Balanced
INS01630,Public,Semi-Urban,1376,96,14.33,79,40,0.81,56,5,0.89,0.33,493,61185,0.9,0.57,0.76,0.5,0.48,2958,0.16,Needs_Improvement
INS01631,Public,Rural,1003,131,7.66,17,64,0.93,25,11,0.91,0.85,727,70953,0.84,0.81,0.68,0.57,0.66,2511,0.24,Moderately_Balanced
INS01632,Government-Aided,Semi-Urban,2363,85,27.8,88,48,0.61,21,3,0.65,0.33,291,74884,0.9,0.62,0.44,0.86,0.93,4419,0.25,Highly_Balanced
INS01633,Private,Semi-Urban,786,134,5.87,51,53,0.57,53,9,0.44,0.31,492,86184,0.53,0.76,0.66,0.85,0.83,3330,0.14,Moderately_Balanced
INS01634,Public,Semi-Urban,1005,49,20.51,101,30,0.89,10,1,0.8,0.26,486,77447,0.82,0.47,0.88,0.5,0.71,4446,0.06,Needs_Improvement
INS01635,Public,Rural,1825,124,14.72,47,41,0.88,0,12,0.77,0.51,423,113702,0.83,0.78,0.81,0.69,0.8,3469,0.3,Moderately_Balanced
INS01636,Public,Semi-Urban,1464,50,29.28,23,43,0.61,4,3,0.7,0.91,774,58559,0.53,0.76,0.57,0.68,0.67,1826,0.19,Moderately_Balanced
INS01637,Government-Aided,Rural,919,32,28.72,67,32,0.48,48,7,0.86,0.89,243,68037,0.9,0.71,0.59,0.63,0.94,1272,0.08,Moderately_Balanced
INS01638,Private,Urban,1076,147,7.32,91,61,0.95,42,7,0.87,0.33,982,28326,0.45,0.81,0.38,0.69,0.45,4099,0.34,Needs_Improvement
INS01639,Government-Aided,Rural,746,120,6.22,106,45,0.79,45,5,0.76,0.26,131,103252,0.67,0.87,0.64,0.56,0.78,4929,0.14,Moderately_Balanced
INS01640,Government-Aided,Urban,508,86,5.91,65,67,0.91,40,6,0.46,0.78,474,41631,0.46,0.84,0.47,0.69,0.35,1823,0.19,Needs_Improvement
INS01641,Private,Rural,1798,99,18.16,85,39,0.62,41,4,0.45,0.46,307,67020,0.71,0.47,0.36,0.78,0.43,4220,0.2,Needs_Improvement
INS01642,Government-Aided,Semi-Urban,1750,122,14.34,40,46,0.77,35,8,0.61,0.83,472,9530,0.66,0.79,0.58,0.43,0.78,1387,0.16,Moderately_Balanced
INS01643,Private,Rural,2177,38,57.29,30,69,0.79,1,4,0.55,0.4,360,25416,0.76,0.64,0.33,0.93,0.81,4766,0.1,Moderately_Balanced
INS01644,Public,Semi-Urban,1591,51,31.2,54,33,0.89,56,10,0.47,0.59,177,8425,0.83,0.58,0.37,0.49,0.37,3020,0.26,Needs_Improvement
INS01645,Private,Urban,2498,84,29.74,104,44,0.95,5,6,0.72,0.27,679,104309,0.83,0.87,0.43,0.6,0.55,3427,0.11,Moderately_Balanced
INS01646,Public,Rural,2042,46,44.39,65,62,0.5,26,5,0.76,0.88,205,91280,0.81,0.7,0.89,0.66,0.42,4429,0.25,Needs_Improvement
INS01647,Government-Aided,Semi-Urban,1578,66,23.91,53,68,0.77,25,12,0.76,0.37,48,46991,0.5,0.67,0.79,0.42,0.88,3060,0.29,Needs_Improvement
INS01648,Government-Aided,Urban,1700,31,54.84,69,39,0.62,34,14,0.49,0.46,427,96129,0.66,0.82,0.63,0.7,0.62,3827,0.06,Moderately_Balanced
INS01649,Public,Urban,1976,104,19.0,110,36,0.86,12,10,0.56,0.59,916,109554,0.86,0.69,0.44,0.88,0.62,2913,0.27,Moderately_Balanced
INS01650,Government-Aided,Rural,1154,85,13.58,50,62,0.83,11,6,0.5,0.44,766,73515,0.78,0.85,0.61,0.9,0.84,4253,0.24,Highly_Balanced
INS01651,Private,Urban,1681,129,13.03,79,46,0.9,17,3,0.71,0.28,46,16868,0.79,0.45,0.69,0.58,0.77,4842,0.11,Needs_Improvement
INS01652,Public,Semi-Urban,1004,101,9.94,99,41,0.62,37,13,0.69,0.27,782,50794,0.56,0.81,0.3,0.71,0.9,2766,0.24,Moderately_Balanced
INS01653,Government-Aided,Urban,1125,144,7.81,91,46,0.54,41,3,0.66,0.92,552,67532,0.61,0.49,0.89,0.83,0.91,3929,0.18,Moderately_Balanced
INS01654,Public,Urban,1304,82,15.9,104,45,0.46,5,10,0.55,0.48,932,103743,0.93,0.52,0.68,0.54,0.54,3920,0.08,Needs_Improvement
INS01655,Private,Semi-Urban,676,91,7.43,59,43,0.58,27,7,0.52,0.48,111,55989,0.87,0.5,0.89,0.69,0.74,3056,0.21,Moderately_Balanced
INS01656,Private,Urban,1272,117,10.87,23,32,0.63,27,13,0.86,0.9,947,8209,0.53,0.53,0.58,0.6,0.68,2242,0.34,Needs_Improvement
INS01657,Government-Aided,Urban,417,92,4.53,51,59,0.92,24,1,0.43,0.84,191,20717,0.72,0.79,0.67,0.61,0.71,4670,0.24,Moderately_Balanced
INS01658,Private,Urban,743,90,8.26,101,64,0.7,4,1,0.74,0.73,133,18129,0.7,0.75,0.58,0.45,0.73,3569,0.15,Moderately_Balanced
INS01659,Public,Urban,1054,49,21.51,15,55,0.73,58,1,0.41,0.71,117,55046,0.67,0.52,0.31,0.62,0.39,4018,0.22,Needs_Improvement
INS01660,Private,Semi-Urban,939,144,6.52,80,41,0.89,14,6,0.5,0.81,274,22034,0.69,0.54,0.81,0.49,0.89,3590,0.27,Moderately_Balanced
INS01661,Public,Urban,2471,35,70.6,77,60,0.89,46,4,0.55,0.37,41,94715,0.77,0.45,0.57,0.57,0.43,2071,0.1,Needs_Improvement
INS01662,Public,Semi-Urban,1600,66,24.24,57,46,0.71,43,14,0.86,0.71,573,32143,0.93,0.62,0.58,0.58,0.6,1370,0.21,Moderately_Balanced
INS01663,Private,Urban,922,120,7.68,42,66,0.51,8,6,0.47,0.32,140,112587,0.89,0.6,0.52,0.64,0.53,2788,0.2,Moderately_Balanced
INS01664,Government-Aided,Urban,1792,126,14.22,114,37,0.59,44,14,0.89,0.34,230,97148,0.89,0.48,0.56,0.9,0.68,3061,0.16,Moderately_Balanced
INS01665,Private,Urban,2308,145,15.92,45,48,0.68,47,14,0.82,0.42,721,17433,0.8,0.84,0.74,0.75,0.93,4621,0.27,Highly_Balanced
INS01666,Public,Urban,1951,41,47.59,119,55,0.83,52,1,0.75,0.75,835,36993,0.46,0.85,0.72,0.94,0.6,4782,0.22,Moderately_Balanced
INS01667,Public,Semi-Urban,2023,102,19.83,83,33,0.81,1,4,0.61,0.87,667,115975,0.67,0.46,0.79,0.72,0.71,2456,0.26,Needs_Improvement
INS01668,Private,Semi-Urban,2219,79,28.09,115,44,0.77,48,4,0.87,0.73,405,81243,0.71,0.54,0.88,0.84,0.43,1632,0.23,Needs_Improvement
INS01669,Government-Aided,Semi-Urban,1218,77,15.82,103,43,0.89,8,2,0.67,0.54,920,53638,0.87,0.79,0.53,0.86,0.63,4542,0.28,Moderately_Balanced
INS01670,Government-Aided,Rural,1473,22,66.95,22,59,0.85,25,1,0.59,0.61,303,69249,0.91,0.86,0.5,0.81,0.9,2844,0.24,Highly_Balanced
INS01671,Public,Urban,1485,64,23.2,48,53,0.94,22,13,0.7,0.75,919,61813,0.68,0.44,0.6,0.77,0.91,3166,0.25,Moderately_Balanced
INS01672,Public,Urban,419,69,6.07,117,63,0.89,50,8,0.52,0.68,72,9985,0.6,0.88,0.39,0.63,0.68,4385,0.12,Moderately_Balanced
INS01673,Government-Aided,Semi-Urban,881,21,41.95,63,48,0.55,27,6,0.54,0.62,887,73098,0.62,0.43,0.75,0.71,0.81,2432,0.3,Needs_Improvement
INS01674,Private,Rural,2247,34,66.09,110,32,0.48,5,4,0.88,0.42,660,69875,0.74,0.74,0.65,0.51,0.35,2232,0.1,Needs_Improvement
INS01675,Public,Urban,2446,115,21.27,72,33,0.66,57,2,0.81,0.68,610,96534,0.59,0.41,0.43,0.74,0.67,3953,0.15,Needs_Improvement
INS01676,Public,Semi-Urban,1490,104,14.33,89,40,0.76,3,12,0.67,0.26,480,92995,0.91,0.89,0.82,0.68,0.79,2017,0.32,Highly_Balanced
INS01677,Government-Aided,Urban,1986,130,15.28,61,42,0.77,29,13,0.62,0.64,754,68103,0.66,0.59,0.67,0.84,0.55,4708,0.08,Moderately_Balanced
INS01678,Private,Urban,2299,42,54.74,39,47,0.58,56,5,0.82,0.82,740,41551,0.95,0.74,0.32,0.9,0.89,3352,0.31,Highly_Balanced
INS01679,Government-Aided,Semi-Urban,700,118,5.93,17,48,0.88,46,9,0.7,0.38,921,114293,0.5,0.5,0.42,0.47,0.82,2572,0.19,Needs_Improvement
INS01680,Private,Semi-Urban,1649,56,29.45,59,62,0.61,17,7,0.62,0.33,875,86974,0.54,0.57,0.83,0.78,0.81,3618,0.11,Moderately_Balanced
INS01681,Private,Urban,1956,126,15.52,66,67,0.91,29,4,0.67,0.93,970,112589,0.71,0.8,0.53,0.92,0.36,4697,0.27,Moderately_Balanced
INS01682,Private,Urban,920,60,15.33,110,32,0.69,26,5,0.52,0.84,327,15104,0.88,0.92,0.89,0.9,0.46,2141,0.14,Moderately_Balanced
INS01683,Public,Semi-Urban,546,76,7.18,113,64,0.46,43,8,0.51,0.46,352,29931,0.63,0.93,0.62,0.86,0.78,4238,0.25,Moderately_Balanced
INS01684,Government-Aided,Urban,1416,116,12.21,110,30,0.53,30,11,0.91,0.4,232,84135,0.87,0.83,0.42,0.43,0.69,2063,0.29,Moderately_Balanced
INS01685,Government-Aided,Urban,923,44,20.98,48,64,0.5,43,13,0.9,0.48,555,9869,0.66,0.85,0.66,0.54,0.7,1959,0.22,Moderately_Balanced
INS01686,Private,Semi-Urban,2139,129,16.58,115,65,0.47,51,5,0.62,0.55,209,108311,0.88,0.91,0.36,0.48,0.36,1257,0.29,Moderately_Balanced
INS01687,Public,Urban,2409,56,43.02,83,67,0.81,48,12,0.67,0.82,203,18296,0.59,0.42,0.78,0.91,0.62,1456,0.33,Needs_Improvement
INS01688,Public,Urban,599,59,10.15,106,68,0.55,38,6,0.83,0.42,233,16201,0.69,0.49,0.68,0.81,0.82,2829,0.22,Moderately_Balanced
INS01689,Government-Aided,Rural,702,104,6.75,106,54,0.87,29,13,0.78,0.75,112,92761,0.59,0.43,0.88,0.69,0.75,3083,0.1,Needs_Improvement
INS01690,Public,Semi-Urban,1971,65,30.32,22,69,0.58,51,10,0.45,0.9,427,63604,0.56,0.67,0.71,0.94,0.69,4012,0.26,Moderately_Balanced
INS01691,Public,Rural,552,121,4.56,41,42,0.47,36,6,0.59,0.52,639,105569,0.66,0.91,0.33,0.51,0.77,4489,0.17,Moderately_Balanced
INS01692,Private,Rural,2057,117,17.58,94,33,0.86,11,8,0.53,0.27,735,79451,0.62,0.71,0.59,0.75,0.86,1281,0.21,Moderately_Balanced
INS01693,Public,Rural,1692,38,44.53,77,35,0.68,16,13,0.92,0.83,295,70039,0.84,0.69,0.62,0.74,0.86,2983,0.24,Moderately_Balanced
INS01694,Private,Urban,2264,110,20.58,96,40,0.75,33,11,0.79,0.75,53,53852,0.82,0.84,0.85,0.59,0.62,1968,0.27,Moderately_Balanced
INS01695,Government-Aided,Urban,459,88,5.22,39,30,0.62,27,5,0.42,0.35,802,30869,0.63,0.89,0.56,0.67,0.53,1624,0.24,Moderately_Balanced
INS01696,Public,Rural,504,24,21.0,72,37,0.47,3,1,0.87,0.67,838,57541,0.95,0.77,0.66,0.53,0.57,3619,0.12,Moderately_Balanced
INS01697,Government-Aided,Rural,1461,67,21.81,62,63,0.64,33,4,0.88,0.83,264,18969,0.94,0.87,0.41,0.77,0.66,4575,0.27,Highly_Balanced
INS01698,Government-Aided,Rural,1691,131,12.91,15,69,0.71,45,3,0.57,0.38,658,107663,0.91,0.49,0.45,0.63,0.4,3714,0.29,Needs_Improvement
INS01699,Public,Urban,1157,37,31.27,22,38,0.46,13,2,0.73,0.41,791,66060,0.74,0.67,0.63,0.41,0.7,3090,0.06,Needs_Improvement
INS01700,Public,Rural,1059,50,21.18,35,65,0.74,12,7,0.75,0.39,328,115935,0.66,0.59,0.72,0.92,0.62,3024,0.14,Moderately_Balanced
INS01701,Government-Aided,Rural,1890,148,12.77,112,68,0.9,48,13,0.78,0.95,673,33456,0.61,0.58,0.56,0.68,0.81,2807,0.34,Moderately_Balanced
INS01702,Public,Semi-Urban,2415,44,54.89,102,66,0.56,57,13,0.76,0.41,724,37622,0.46,0.51,0.56,0.79,0.51,3235,0.1,Needs_Improvement
INS01703,Private,Semi-Urban,432,27,16.0,115,50,0.91,48,7,0.69,0.44,436,14692,0.77,0.87,0.45,0.51,0.39,2208,0.1,Needs_Improvement
INS01704,Private,Urban,2023,81,24.98,104,49,0.5,53,8,0.9,0.28,399,52930,0.73,0.64,0.72,0.47,0.89,2058,0.23,Moderately_Balanced
INS01705,Public,Semi-Urban,729,26,28.04,92,67,0.86,49,10,0.67,0.94,69,66960,0.76,0.68,0.3,0.9,0.39,1369,0.15,Moderately_Balanced
INS01706,Government-Aided,Semi-Urban,1497,38,39.39,43,30,0.87,2,5,0.46,0.42,258,37755,0.74,0.55,0.61,0.73,0.91,4151,0.25,Moderately_Balanced
INS01707,Public,Semi-Urban,396,130,3.05,44,64,0.58,20,1,0.44,0.76,254,12185,0.52,0.91,0.3,0.67,0.65,4969,0.13,Moderately_Balanced
INS01708,Public,Urban,2006,30,66.87,17,57,0.93,15,6,0.41,0.27,338,23221,0.8,0.72,0.66,0.69,0.38,2331,0.18,Needs_Improvement
INS01709,Government-Aided,Semi-Urban,1477,60,24.62,21,36,0.66,50,6,0.62,0.8,581,51970,0.63,0.4,0.32,0.53,0.43,2335,0.35,Needs_Improvement
INS01710,Government-Aided,Urban,2018,133,15.17,114,38,0.52,37,11,0.54,0.78,112,86105,0.71,0.54,0.86,0.9,0.67,1423,0.16,Moderately_Balanced
INS01711,Private,Rural,1565,111,14.1,25,30,0.75,54,8,0.87,0.31,779,13623,0.63,0.93,0.59,0.52,0.36,3970,0.08,Needs_Improvement
INS01712,Government-Aided,Semi-Urban,1627,94,17.31,46,65,0.95,25,13,0.85,0.34,349,23203,0.46,0.92,0.71,0.49,0.9,3405,0.27,Moderately_Balanced
INS01713,Private,Urban,1608,86,18.7,73,63,0.9,5,10,0.84,0.46,439,86700,0.89,0.69,0.81,0.91,0.83,4331,0.23,Highly_Balanced
INS01714,Government-Aided,Semi-Urban,1350,24,56.25,26,63,0.59,17,2,0.85,0.5,481,56529,0.52,0.7,0.44,0.54,0.65,1683,0.18,Needs_Improvement
INS01715,Public,Rural,1683,135,12.47,93,46,0.74,40,11,0.55,0.8,361,107675,0.74,0.88,0.62,0.87,0.91,4907,0.32,Highly_Balanced
INS01716,Private,Urban,880,137,6.42,52,61,0.51,49,9,0.62,0.29,261,22829,0.89,0.78,0.82,0.82,0.51,3001,0.09,Moderately_Balanced
INS01717,Private,Urban,832,30,27.73,38,31,0.68,5,11,0.56,0.71,628,12080,0.56,0.89,0.62,0.61,0.86,3183,0.2,Moderately_Balanced
INS01718,Private,Urban,1475,63,23.41,79,65,0.71,40,13,0.44,0.41,495,26206,0.66,0.65,0.54,0.54,0.83,3775,0.11,Moderately_Balanced
INS01719,Public,Rural,1425,96,14.84,32,54,0.61,56,6,0.88,0.52,986,56055,0.64,0.92,0.52,0.82,0.7,3506,0.08,Moderately_Balanced
INS01720,Public,Rural,1198,137,8.74,60,55,0.69,49,1,0.72,0.25,631,23299,0.49,0.69,0.53,0.73,0.54,4101,0.18,Needs_Improvement
INS01721,Public,Rural,1769,135,13.1,70,55,0.91,24,9,0.47,0.45,503,54085,0.66,0.74,0.67,0.54,0.68,1797,0.33,Moderately_Balanced
INS01722,Public,Urban,1552,86,18.05,77,50,0.7,47,8,0.51,0.37,965,52850,0.69,0.44,0.33,0.89,0.92,1284,0.27,Moderately_Balanced
INS01723,Public,Rural,1069,32,33.41,21,47,0.87,23,10,0.63,0.6,444,108571,0.46,0.72,0.55,0.8,0.4,2189,0.12,Needs_Improvement
INS01724,Private,Semi-Urban,1133,111,10.21,119,58,0.61,29,1,0.43,0.36,885,97054,0.69,0.81,0.64,0.9,0.47,1866,0.19,Moderately_Balanced
INS01725,Public,Rural,2204,30,73.47,80,53,0.94,22,8,0.54,0.84,985,97292,0.5,0.63,0.77,0.64,0.74,1777,0.29,Needs_Improvement
INS01726,Private,Urban,853,104,8.2,54,57,0.5,44,13,0.77,0.87,246,34371,0.9,0.67,0.62,0.47,0.76,4215,0.11,Moderately_Balanced
INS01727,Public,Semi-Urban,1391,104,13.38,68,41,0.74,42,7,0.88,0.84,174,62928,0.78,0.61,0.86,0.91,0.45,4698,0.11,Moderately_Balanced
INS01728,Government-Aided,Rural,1496,36,41.56,45,40,0.84,7,5,0.88,0.94,561,16050,0.48,0.91,0.57,0.73,0.83,2374,0.1,Moderately_Balanced
INS01729,Private,Semi-Urban,1960,67,29.25,111,56,0.86,57,13,0.67,0.89,179,74501,0.86,0.65,0.69,0.73,0.91,4822,0.23,Moderately_Balanced
INS01730,Government-Aided,Semi-Urban,858,116,7.4,66,52,0.55,55,6,0.56,0.45,230,56304,0.63,0.47,0.31,0.72,0.4,4693,0.06,Needs_Improvement
INS01731,Private,Urban,560,94,5.96,108,62,0.65,48,4,0.88,0.47,809,21675,0.56,0.42,0.44,0.66,0.93,4632,0.23,Needs_Improvement
INS01732,Government-Aided,Semi-Urban,2140,96,22.29,45,45,0.76,8,9,0.81,0.62,744,26604,0.58,0.81,0.79,0.54,0.52,4691,0.3,Needs_Improvement
INS01733,Public,Semi-Urban,1447,147,9.84,48,57,0.61,5,9,0.71,0.52,600,60554,0.75,0.69,0.65,0.74,0.54,3901,0.28,Moderately_Balanced
INS01734,Public,Urban,1104,56,19.71,21,57,0.78,32,13,0.83,0.93,680,102212,0.49,0.4,0.87,0.8,0.38,2596,0.25,Needs_Improvement
INS01735,Public,Urban,1485,49,30.31,103,67,0.64,32,10,0.64,0.49,508,70461,0.48,0.6,0.75,0.9,0.65,2607,0.12,Moderately_Balanced
INS01736,Private,Urban,574,66,8.7,30,35,0.63,44,14,0.46,0.77,275,63659,0.76,0.88,0.57,0.44,0.92,4110,0.29,Moderately_Balanced
INS01737,Government-Aided,Semi-Urban,505,67,7.54,36,58,0.5,6,1,0.89,0.65,75,66436,0.94,0.9,0.77,0.54,0.45,3176,0.34,Moderately_Balanced
INS01738,Public,Semi-Urban,2023,53,38.17,114,63,0.47,41,12,0.68,0.92,871,14260,0.69,0.43,0.58,0.83,0.7,4446,0.11,Moderately_Balanced
INS01739,Government-Aided,Semi-Urban,1166,120,9.72,67,32,0.87,17,9,0.76,0.77,761,10602,0.66,0.47,0.5,0.83,0.51,4834,0.32,Needs_Improvement
INS01740,Government-Aided,Urban,392,65,6.03,105,35,0.69,5,3,0.6,0.46,178,24612,0.92,0.4,0.33,0.52,0.36,3906,0.31,Needs_Improvement
INS01741,Public,Rural,1365,89,15.34,31,67,0.73,44,12,0.47,0.39,888,85096,0.57,0.86,0.82,0.5,0.94,2509,0.34,Moderately_Balanced
INS01742,Public,Semi-Urban,1651,43,38.4,18,42,0.64,36,2,0.54,0.85,974,52001,0.57,0.44,0.55,0.6,0.78,3007,0.15,Needs_Improvement
INS01743,Government-Aided,Rural,2412,86,28.05,75,65,0.52,20,4,0.42,0.89,985,110351,0.9,0.46,0.71,0.43,0.79,2299,0.33,Needs_Improvement
INS01744,Public,Urban,664,23,28.87,113,44,0.67,25,4,0.45,0.83,114,114640,0.77,0.52,0.39,0.8,0.75,4847,0.1,Moderately_Balanced
INS01745,Public,Semi-Urban,1120,20,56.0,119,35,0.56,14,9,0.51,0.77,258,14109,0.48,0.89,0.8,0.77,0.44,4075,0.1,Needs_Improvement
INS01746,Public,Rural,1807,53,34.09,100,62,0.87,43,4,0.69,0.48,702,16435,0.79,0.76,0.79,0.87,0.47,1927,0.08,Moderately_Balanced
INS01747,Private,Semi-Urban,2329,128,18.2,66,41,0.94,53,5,0.92,0.6,235,90928,0.86,0.73,0.59,0.64,0.58,2265,0.18,Moderately_Balanced
INS01748,Government-Aided,Semi-Urban,2224,28,79.43,49,42,0.89,29,6,0.84,0.89,457,110891,0.59,0.82,0.7,0.75,0.95,1621,0.05,Moderately_Balanced
INS01749,Government-Aided,Semi-Urban,1385,82,16.89,58,62,0.71,10,4,0.44,0.34,777,48743,0.64,0.77,0.61,0.92,0.75,3180,0.16,Moderately_Balanced
INS01750,Private,Rural,1596,29,55.03,29,57,0.76,7,1,0.84,0.6,165,94501,0.55,0.8,0.63,0.93,0.62,4495,0.24,Moderately_Balanced
INS01751,Government-Aided,Urban,1343,63,21.32,75,65,0.92,4,13,0.68,0.5,970,91576,0.77,0.44,0.83,0.44,0.64,4833,0.07,Needs_Improvement
INS01752,Public,Semi-Urban,302,137,2.2,118,34,0.72,7,2,0.74,0.72,527,86131,0.78,0.71,0.88,0.4,0.9,1623,0.3,Moderately_Balanced
INS01753,Government-Aided,Urban,2053,25,82.12,58,54,0.77,4,3,0.47,0.69,816,18932,0.48,0.8,0.52,0.93,0.47,2782,0.14,Moderately_Balanced
INS01754,Public,Urban,1210,140,8.64,35,46,0.76,9,4,0.61,0.64,143,55154,0.79,0.7,0.5,0.69,0.54,3821,0.06,Moderately_Balanced
INS01755,Private,Rural,606,114,5.32,91,66,0.8,14,5,0.86,0.45,720,100094,0.78,0.41,0.48,0.79,0.57,1436,0.16,Needs_Improvement
INS01756,Public,Rural,435,130,3.35,61,48,0.77,37,13,0.62,0.36,838,53912,0.47,0.51,0.76,0.9,0.89,4957,0.09,Moderately_Balanced
INS01757,Government-Aided,Urban,2232,124,18.0,89,64,0.79,55,10,0.47,0.8,351,100901,0.73,0.91,0.73,0.64,0.82,1518,0.29,Moderately_Balanced
INS01758,Government-Aided,Semi-Urban,1908,83,22.99,63,63,0.81,49,10,0.56,0.94,287,100470,0.76,0.77,0.33,0.64,0.7,2270,0.15,Moderately_Balanced
INS01759,Government-Aided,Rural,1738,90,19.31,67,35,0.85,54,3,0.52,0.37,624,113923,0.67,0.76,0.35,0.49,0.54,1585,0.09,Needs_Improvement
INS01760,Private,Semi-Urban,1172,123,9.53,41,48,0.65,2,11,0.76,0.3,208,39307,0.9,0.75,0.69,0.9,0.47,3426,0.19,Moderately_Balanced
INS01761,Private,Semi-Urban,1441,108,13.34,45,30,0.82,40,1,0.87,0.77,602,67667,0.61,0.47,0.46,0.76,0.55,2447,0.19,Needs_Improvement
INS01762,Government-Aided,Semi-Urban,965,25,38.6,58,36,0.5,9,11,0.78,0.49,163,69930,0.48,0.4,0.35,0.5,0.91,3887,0.13,Needs_Improvement
INS01763,Public,Urban,508,129,3.94,46,63,0.89,6,11,0.84,0.4,147,111579,0.79,0.63,0.55,0.71,0.9,2225,0.15,Moderately_Balanced
INS01764,Private,Semi-Urban,1251,131,9.55,44,48,0.6,50,8,0.82,0.62,543,23320,0.75,0.64,0.83,0.58,0.6,4052,0.28,Needs_Improvement
INS01765,Government-Aided,Urban,1357,146,9.29,32,62,0.65,23,8,0.41,0.72,849,57437,0.94,0.83,0.52,0.48,0.55,1364,0.24,Moderately_Balanced
INS01766,Government-Aided,Urban,948,82,11.56,77,55,0.85,25,13,0.46,0.4,744,90382,0.57,0.5,0.72,0.5,0.88,3688,0.11,Needs_Improvement
INS01767,Private,Semi-Urban,1641,37,44.35,30,56,0.77,33,4,0.62,0.95,983,23790,0.65,0.55,0.84,0.71,0.62,1349,0.33,Needs_Improvement
INS01768,Private,Semi-Urban,2467,96,25.7,49,67,0.6,57,7,0.46,0.48,381,43260,0.68,0.44,0.4,0.71,0.37,3089,0.14,Needs_Improvement
INS01769,Private,Semi-Urban,926,122,7.59,76,55,0.56,59,4,0.78,0.47,591,104901,0.88,0.61,0.67,0.83,0.56,2287,0.21,Moderately_Balanced
INS01770,Public,Semi-Urban,824,136,6.06,23,64,0.93,7,14,0.44,0.55,868,46017,0.66,0.54,0.84,0.54,0.71,3466,0.22,Needs_Improvement
INS01771,Public,Urban,1904,36,52.89,76,49,0.49,38,3,0.62,0.77,815,44595,0.84,0.54,0.42,0.9,0.92,4864,0.11,Moderately_Balanced
INS01772,Government-Aided,Semi-Urban,2168,33,65.7,53,53,0.45,59,7,0.6,0.86,851,10945,0.53,0.53,0.89,0.69,0.6,4182,0.14,Needs_Improvement
INS01773,Private,Semi-Urban,1068,76,14.05,65,50,0.79,4,14,0.68,0.48,626,66876,0.65,0.52,0.52,0.51,0.49,1798,0.19,Needs_Improvement
INS01774,Public,Urban,2394,112,21.38,115,55,0.76,35,6,0.73,0.33,91,51069,0.53,0.57,0.43,0.63,0.58,3833,0.13,Needs_Improvement
INS01775,Private,Rural,1071,133,8.05,24,49,0.82,42,1,0.89,0.43,641,48771,0.92,0.68,0.8,0.91,0.38,2117,0.14,Moderately_Balanced
INS01776,Government-Aided,Rural,1039,128,8.12,66,35,0.82,25,9,0.54,0.31,965,11983,0.54,0.63,0.58,0.66,0.89,3006,0.23,Moderately_Balanced
INS01777,Public,Urban,821,138,5.95,26,32,0.88,59,12,0.75,0.69,301,32272,0.66,0.43,0.7,0.88,0.37,4716,0.27,Needs_Improvement
INS01778,Public,Rural,1700,111,15.32,86,39,0.91,9,2,0.42,0.77,443,96885,0.49,0.63,0.59,0.49,0.35,2155,0.29,Needs_Improvement
INS01779,Public,Urban,2481,30,82.7,76,41,0.84,32,13,0.4,0.55,897,85389,0.91,0.85,0.69,0.9,0.72,4577,0.09,Highly_Balanced
INS01780,Government-Aided,Semi-Urban,547,118,4.64,17,62,0.57,35,3,0.41,0.92,458,32410,0.76,0.45,0.32,0.64,0.44,4716,0.27,Needs_Improvement
